date_time,date,time,latitude,longitude,depth_km,magnitude,location,hlink,details
03 October 2024 - 06:35 PM,2024-10-03,18:35:00,7.69,127.17,26.0,3.1,069 km N 79° E of Baganga (Davao Oriental),https://earthquake.phivolcs.dost.gov.ph/2024_Earthquake_Information/October/2024_1003_1035_B2F.html,"2024_1003_1035 DEPARTMENT OF SCIENCE AND TECHNOLOGY PHILIPPINE INSTITUTE OF VOLCANOLOGY AND SEISMOLOGY EARTHQUAKE INFORMATION NO. : 2 PHIVOLCS Building , C.P. Garcia Avenue, U.P.- Diliman , Quezon City, PHILIPPINES Tel.: 8426-1468 Fax: 8927-1087 Date/Time : 03 Oct 2024 - 06:35:50 PM Location : 07.69°N, 127.17°E - 069 km N 79° E of Baganga (Davao Oriental) Depth of Focus (Km) : 026 Origin : TECTONIC Magnitude : Ms 3.1 Reported Intensities : 11.20a 2024_1003_1035_M31D026_B2F This is an aftershock of the 2024 August 03 Mw6.8 Offshore Surigao del Sur earthquake event. Expecting Damage : NO Expecting Aftershocks : NO Issued On : 04 October 2024 - 05:22 PM Prepared by : PPS/EFRB IMPORTANT This will be the only bulletin issued unless additional information becomes available. Always refer to the latest earthquake information posted at the PHIVOLCS official website (https://www.phivolcs.dost.gov.ph)."
03 October 2024 - 06:10 PM,2024-10-03,18:10:00,11.92,120.25,21.0,1.6,010 km S 30° E of Coron (Palawan),https://earthquake.phivolcs.dost.gov.ph/2024_Earthquake_Information/October/2024_1003_1010_B2.html,"2024_1003_1010 DEPARTMENT OF SCIENCE AND TECHNOLOGY PHILIPPINE INSTITUTE OF VOLCANOLOGY AND SEISMOLOGY EARTHQUAKE INFORMATION NO. : 2 PHIVOLCS Building , C.P. Garcia Avenue, U.P.- Diliman , Quezon City, PHILIPPINES Tel.: 8426-1468 Fax: 8927-1087 Date/Time : 03 Oct 2024 - 06:10:12 PM Location : 11.92°N, 120.25°E - 010 km S 30° E of Coron (Palawan) Depth of Focus (Km) : 021 Origin : TECTONIC Magnitude : Ms 1.6 Reported Intensities : 11.20a 2024_1003_1010_M16D021_B2 Expecting Damage : NO Expecting Aftershocks : NO Issued On : 04 Oct 2024 - 06:03 PM Prepared by : EFRB/PPS/MAMG IMPORTANT This will be the only bulletin issued unless additional information becomes available. Always refer to the latest earthquake information posted at the PHIVOLCS official website (https://www.phivolcs.dost.gov.ph)."
03 October 2024 - 05:20 PM,2024-10-03,17:20:00,8.93,124.31,10.0,2.9,039 km N 15° W of Gitagum (Misamis Oriental),https://earthquake.phivolcs.dost.gov.ph/2024_Earthquake_Information/October/2024_1003_0920_B2.html,"2024_1003_0920 DEPARTMENT OF SCIENCE AND TECHNOLOGY PHILIPPINE INSTITUTE OF VOLCANOLOGY AND SEISMOLOGY EARTHQUAKE INFORMATION NO. : 2 PHIVOLCS Building , C.P. Garcia Avenue, U.P.- Diliman , Quezon City, PHILIPPINES Tel.: 8426-1468 Fax: 8927-1087 Date/Time : 03 Oct 2024 - 05:20:39 PM Location : 08.93°N, 124.31°E - 039 km N 15° W of Gitagum (Misamis Oriental) Depth of Focus (Km) : 010 Origin : TECTONIC Magnitude : Ms 2.9 Reported Intensities : 11.20a 2024_1003_0920_M29D009_B2 Expecting Damage : NO Expecting Aftershocks : NO Issued On : 04 Oct 2024 - 10:16 AM Prepared by : CNDA/JSO/NBA IMPORTANT This will be the only bulletin issued unless additional information becomes available. Always refer to the latest earthquake information posted at the PHIVOLCS official website (https://www.phivolcs.dost.gov.ph)."
03 October 2024 - 04:45 PM,2024-10-03,16:45:00,9.62,126.22,33.0,1.5,019 km S 20° E of General Luna (Surigao Del Norte),https://earthquake.phivolcs.dost.gov.ph/2024_Earthquake_Information/October/2024_1003_0845_B1.html,"2024_1003_0845 DEPARTMENT OF SCIENCE AND TECHNOLOGY PHILIPPINE INSTITUTE OF VOLCANOLOGY AND SEISMOLOGY EARTHQUAKE INFORMATION NO. : 1 PHIVOLCS Building , C.P. Garcia Avenue, U.P.- Diliman , Quezon City, PHILIPPINES Tel.: 8426-1468 Fax: 8927-1087 Date/Time : 03 Oct 2024 - 04:45:13 PM Location : 09.62°N, 126.22°E - 019 km S 20° E of General Luna (Surigao Del Norte) Depth of Focus (Km) : 033 Origin : TECTONIC Magnitude : Ms 1.5 Reported Intensities : 11.20a 2024_1003_0845_M15D033_B1 Expecting Damage : NO Expecting Aftershocks : NO Issued On : 03 Oct 2024 - 04:51 PM Prepared by : GBD/KMG/LJAG IMPORTANT This will be the only bulletin issued unless additional information becomes available. Always refer to the latest earthquake information posted at the PHIVOLCS official website (https://www.phivolcs.dost.gov.ph)."
03 October 2024 - 04:44 PM,2024-10-03,16:44:00,9.05,126.75,32.0,2.0,052 km N 74° E of Cagwait (Surigao Del Sur),https://earthquake.phivolcs.dost.gov.ph/2024_Earthquake_Information/October/2024_1003_0844_B1.html,"2024_1003_0844 DEPARTMENT OF SCIENCE AND TECHNOLOGY PHILIPPINE INSTITUTE OF VOLCANOLOGY AND SEISMOLOGY EARTHQUAKE INFORMATION NO. : 1 PHIVOLCS Building , C.P. Garcia Avenue, U.P.- Diliman , Quezon City, PHILIPPINES Tel.: 8426-1468 Fax: 8927-1087 Date/Time : 03 Oct 2024 - 04:44:09 PM Location : 09.05°N, 126.75°E - 052 km N 74° E of Cagwait (Surigao Del Sur) Depth of Focus (Km) : 032 Origin : TECTONIC Magnitude : Ms 2.0 Reported Intensities : 11.20a 2024_1003_0844_M20D031_B1 Expecting Damage : NO Expecting Aftershocks : NO Issued On : 03 October 2024 - 04:49 PM Prepared by : AGSR/CNDA/KRV/GBD/LJAG IMPORTANT This will be the only bulletin issued unless additional information becomes available. Always refer to the latest earthquake information posted at the PHIVOLCS official website (https://www.phivolcs.dost.gov.ph)."
03 October 2024 - 04:30 PM,2024-10-03,16:30:00,13.49,120.3,15.0,2.3,020 km N 67° W of Paluan (Occidental Mindoro),https://earthquake.phivolcs.dost.gov.ph/2024_Earthquake_Information/October/2024_1003_0830_B1.html,"2024_1003_0830 DEPARTMENT OF SCIENCE AND TECHNOLOGY PHILIPPINE INSTITUTE OF VOLCANOLOGY AND SEISMOLOGY EARTHQUAKE INFORMATION NO. : 1 PHIVOLCS Building , C.P. Garcia Avenue, U.P.- Diliman , Quezon City, PHILIPPINES Tel.: 8426-1468 Fax: 8927-1087 Date/Time : 03 Oct 2024 - 04:30:17 PM Location : 13.49°N, 120.30°E - 020 km N 67° W of Paluan (Occidental Mindoro) Depth of Focus (Km) : 015 Origin : TECTONIC Magnitude : Ms 2.3 Reported Intensities : 11.20a 2024_1003_0830_M23D015_B1 Expecting Damage : NO Expecting Aftershocks : NO Issued On : 03 Oct 2024 - 04:36 PM Prepared by : GBD/AGSR/KRV/CNDA IMPORTANT This will be the only bulletin issued unless additional information becomes available. Always refer to the latest earthquake information posted at the PHIVOLCS official website (https://www.phivolcs.dost.gov.ph)."
03 October 2024 - 04:07 PM,2024-10-03,16:07:00,8.95,126.52,62.0,2.4,024 km N 81° E of Cagwait (Surigao Del Sur),https://earthquake.phivolcs.dost.gov.ph/2024_Earthquake_Information/October/2024_1003_0807_B1.html,"2024_1003_0807 DEPARTMENT OF SCIENCE AND TECHNOLOGY PHILIPPINE INSTITUTE OF VOLCANOLOGY AND SEISMOLOGY EARTHQUAKE INFORMATION NO. : 1 PHIVOLCS Building , C.P. Garcia Avenue, U.P.- Diliman , Quezon City, PHILIPPINES Tel.: 8426-1468 Fax: 8927-1087 Date/Time : 03 Oct 2024 - 04:07:14 PM Location : 08.95°N, 126.52°E - 024 km N 81° E of Cagwait (Surigao Del Sur) Depth of Focus (Km) : 062 Origin : TECTONIC Magnitude : Ms 2.4 Reported Intensities : 11.20a 2024_1003_0807_M24D061_B1 Expecting Damage : NO Expecting Aftershocks : NO Issued On : 03 October 2024 - 04:15 PM Prepared by : AGSR/CNDA/KRV IMPORTANT This will be the only bulletin issued unless additional information becomes available. Always refer to the latest earthquake information posted at the PHIVOLCS official website (https://www.phivolcs.dost.gov.ph)."
03 October 2024 - 03:24 PM,2024-10-03,15:24:00,14.95,122.58,1.0,2.7,039 km N 44° E of Jomalig (Quezon),https://earthquake.phivolcs.dost.gov.ph/2024_Earthquake_Information/October/2024_1003_0724_B3.html,"2024_1003_0724 DEPARTMENT OF SCIENCE AND TECHNOLOGY PHILIPPINE INSTITUTE OF VOLCANOLOGY AND SEISMOLOGY EARTHQUAKE INFORMATION NO. : 3 PHIVOLCS Building , C.P. Garcia Avenue, U.P.- Diliman , Quezon City, PHILIPPINES Tel.: 8426-1468 Fax: 8927-1087 Date/Time : 03 Oct 2024 - 03:24:19 PM Location : 14.95°N, 122.58°E - 039 km N 44° E of Jomalig (Quezon) Depth of Focus (Km) : 001 Origin : TECTONIC Magnitude : Ms 2.7 Reported Intensities : 11.20a 2024_1003_0724_M27D001_B3 Expecting Damage : NO Expecting Aftershocks : NO Issued On : 04 October 2024 - 09:28 AM Prepared by : JSO/CNDA/NBA IMPORTANT This will be the only bulletin issued unless additional information becomes available. Always refer to the latest earthquake information posted at the PHIVOLCS official website (https://www.phivolcs.dost.gov.ph)."
03 October 2024 - 02:34 PM,2024-10-03,14:34:00,13.25,120.18,22.0,3.7,036 km S 59° W of Paluan (Occidental Mindoro),https://earthquake.phivolcs.dost.gov.ph/2024_Earthquake_Information/October/2024_1003_0634_B2.html,"2024_1003_0634 DEPARTMENT OF SCIENCE AND TECHNOLOGY PHILIPPINE INSTITUTE OF VOLCANOLOGY AND SEISMOLOGY EARTHQUAKE INFORMATION NO. : 2 PHIVOLCS Building , C.P. Garcia Avenue, U.P.- Diliman , Quezon City, PHILIPPINES Tel.: 8426-1468 Fax: 8927-1087 Date/Time : 03 Oct 2024 - 02:34:35 PM Location : 13.25°N, 120.18°E - 036 km S 59° W of Paluan (Occidental Mindoro) Depth of Focus (Km) : 022 Origin : TECTONIC Magnitude : Ms 3.7 Reported Intensities : 11.20a 2024_1003_0634_M37D022_B2 Expecting Damage : NO Expecting Aftershocks : NO Issued On : 04 Oct 2024 - 09:28 AM Prepared by : CNDA/JSO/NBA IMPORTANT This will be the only bulletin issued unless additional information becomes available. Always refer to the latest earthquake information posted at the PHIVOLCS official website (https://www.phivolcs.dost.gov.ph)."
03 October 2024 - 11:28 AM,2024-10-03,11:28:00,8.79,126.45,30.0,2.2,022 km S 48° E of Cagwait (Surigao Del Sur),https://earthquake.phivolcs.dost.gov.ph/2024_Earthquake_Information/October/2024_1003_0328_B2.html,"2024_1003_0328 DEPARTMENT OF SCIENCE AND TECHNOLOGY PHILIPPINE INSTITUTE OF VOLCANOLOGY AND SEISMOLOGY EARTHQUAKE INFORMATION NO. : 2 PHIVOLCS Building , C.P. Garcia Avenue, U.P.- Diliman , Quezon City, PHILIPPINES Tel.: 8426-1468 Fax: 8927-1087 Date/Time : 03 Oct 2024 - 11:28:47 AM Location : 08.79°N, 126.45°E - 022 km S 48° E of Cagwait (Surigao Del Sur) Depth of Focus (Km) : 030 Origin : TECTONIC Magnitude : Ms 2.2 Reported Intensities : 11.20a 2024_1003_0328_M22D030_B2 Expecting Damage : NO Expecting Aftershocks : NO Issued On : 04 October 2024 - 09:07 AM Prepared by : NBA/JSO/CNDA IMPORTANT This will be the only bulletin issued unless additional information becomes available. Always refer to the latest earthquake information posted at the PHIVOLCS official website (https://www.phivolcs.dost.gov.ph)."
